"filename", "language", "TypeScript", "Less", "HTML", "GraphQL", "CSS", "XML", "comment", "blank", "total"
"f:\VKR\app\frontend\src\app\modules\client-card\reception\view\reception-view.component.html", "HTML", 0, 0, 263, 0, 0, 0, 6, 16, 285
"f:\VKR\app\frontend\src\app\modules\client-card\reception\view\reception-view.component.ts", "TypeScript", 139, 0, 0, 0, 0, 0, 6, 17, 162
"f:\VKR\app\frontend\src\app\modules\goods\add-good\add-good.component.html", "HTML", 0, 0, 91, 0, 0, 0, 0, 10, 101
"f:\VKR\app\frontend\src\app\modules\goods\add-good\add-good.component.ts", "TypeScript", 82, 0, 0, 0, 0, 0, 0, 12, 94
"f:\VKR\app\frontend\src\app\modules\goods\goods-routing.module.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 3, 20
"f:\VKR\app\frontend\src\app\modules\goods\goods.component.html", "HTML", 0, 0, 290, 0, 0, 0, 2, 7, 299
"f:\VKR\app\frontend\src\app\modules\goods\goods.component.ts", "TypeScript", 259, 0, 0, 0, 0, 0, 5, 28, 292
"f:\VKR\app\frontend\src\app\modules\goods\goods.graphql", "GraphQL", 0, 0, 0, 56, 0, 0, 0, 3, 59
"f:\VKR\app\frontend\src\app\modules\goods\goods.module.ts", "TypeScript", 43, 0, 0, 0, 0, 0, 1, 5, 49
"f:\VKR\app\frontend\src\app\modules\goods\goods.service.ts", "TypeScript", 73, 0, 0, 0, 0, 0, 28, 11, 112
"f:\VKR\app\frontend\src\app\modules\landing\home\home-routing.module.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 3, 20
"f:\VKR\app\frontend\src\app\modules\landing\home\home.component.html", "HTML", 0, 0, 3, 0, 0, 0, 8, 9, 20
"f:\VKR\app\frontend\src\app\modules\landing\home\home.component.less", "Less", 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\VKR\app\frontend\src\app\modules\landing\home\home.component.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 15, 10, 43
