"filename", "language", "TypeScript", "Less", "HTML", "XML", "CSS", "GraphQL", "comment", "blank", "total"
"f:\VKR\app\frontend\src\app\modules\services\services.service.ts", "TypeScript", 95, 0, 0, 0, 0, 0, 34, 14, 143
"f:\VKR\app\frontend\src\app\shared\components\advanced-table\advanced-table.component.html", "HTML", 0, 0, 138, 0, 0, 0, 1, 5, 144
"f:\VKR\app\frontend\src\app\shared\components\advanced-table\advanced-table.component.ts", "TypeScript", 136, 0, 0, 0, 0, 0, 51, 37, 224
"f:\VKR\app\frontend\src\app\shared\components\advanced-table\advanced-table.module.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 0, 7, 36
"f:\VKR\app\frontend\src\app\shared\components\advanced-table\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 2, 3
"f:\VKR\app\frontend\src\app\shared\components\button-with-dropdown\button-dropdown.component.html", "HTML", 0, 0, 47, 0, 0, 0, 0, 0, 47
"f:\VKR\app\frontend\src\app\shared\components\button-with-dropdown\button-dropdown.component.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 9, 27
"f:\VKR\app\frontend\src\app\shared\components\button-with-dropdown\button-dropdown.module.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 5, 31
"f:\VKR\app\frontend\src\app\shared\components\button-with-dropdown\buttonWithDropdown.interface.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 1, 9
"f:\VKR\app\frontend\src\app\shared\components\dialog\delete-confirm\delete-confirm.component.html", "HTML", 0, 0, 0, 0, 0, 0, 1, 1, 2
"f:\VKR\app\frontend\src\app\shared\components\dialog\delete-confirm\delete-confirm.component.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 3, 11
"f:\VKR\app\frontend\src\app\shared\components\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 2, 0, 3
"f:\VKR\app\frontend\src\app\shared\components\layout\error-access\error-access.component.css", "CSS", 0, 0, 0, 0, 11, 0, 0, 3, 14
"f:\VKR\app\frontend\src\app\shared\components\layout\error-access\error-access.component.html", "HTML", 0, 0, 4, 0, 0, 0, 0, 1, 5
"f:\VKR\app\frontend\src\app\shared\components\layout\error-access\error-access.component.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 5, 17
"f:\VKR\app\frontend\src\app\shared\components\layout\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 1, 2
"f:\VKR\app\frontend\src\app\shared\components\layout\page404.component.html", "HTML", 0, 0, 126, 0, 0, 0, 0, 3, 129
"f:\VKR\app\frontend\src\app\shared\components\layout\page404.component.less", "Less", 0, 7, 0, 0, 0, 0, 0, 0, 7
"f:\VKR\app\frontend\src\app\shared\components\layout\page404.component.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 3, 18
"f:\VKR\app\frontend\src\app\shared\directives\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"f:\VKR\app\frontend\src\app\shared\directives\show-authed.directive.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 1, 7, 39
"f:\VKR\app\frontend\src\app\shared\index.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 1, 4
"f:\VKR\app\frontend\src\app\shared\pipes\array-to-any-array.pipe.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 1, 11
"f:\VKR\app\frontend\src\app\shared\pipes\check-null.pipe.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 1, 16
"f:\VKR\app\frontend\src\app\shared\pipes\format-pet-gender.pipe.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 1, 19
"f:\VKR\app\frontend\src\app\shared\pipes\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\VKR\app\frontend\src\app\shared\pipes\safe-html.pipe.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 2, 12
"f:\VKR\app\frontend\src\app\shared\shared.module.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 2, 11
"f:\VKR\app\frontend\src\app\shared\utils\default-day-range-periods.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 0, 3, 34
"f:\VKR\app\frontend\src\assets\images\vet_background.svg", "XML", 0, 0, 0, 1632, 0, 0, 1, 2, 1635
"f:\VKR\app\frontend\src\environments\environment.prod.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 1, 4
"f:\VKR\app\frontend\src\environments\environment.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 11, 3, 18
"f:\VKR\app\frontend\src\graphql\generated.ts", "TypeScript", 1170, 0, 0, 0, 0, 0, 19, 236, 1425
"f:\VKR\app\frontend\src\index.html", "HTML", 0, 0, 13, 0, 0, 0, 0, 1, 14
"f:\VKR\app\frontend\src\main.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 3, 8
"f:\VKR\app\frontend\src\styles.less", "Less", 0, 55, 0, 0, 0, 0, 4, 14, 73
"f:\VKR\app\frontend\src\test-setup.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 1, 2
"Total", "-", 5230, 133, 3165, 1632, 11, 341, 889, 1218, 12619
